,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal)
0,56,Female,53.8,1.62,163.0,149.0,71.0,1.01,HIIT,22.1,3.5,3,1,20.4,9.5,0.8478260869565217,8.054347826086957,437.7
1,46,Male,54.9,1.75,170.0,126.0,73.0,0.25,Yoga,19.9,3.4,3,0,18.0,3.0,0.5463917525773195,1.6391752577319587,22.5
2,32,Female,68.5,1.61,190.0,171.0,60.0,0.33,HIIT,20.4,2.7,3,1,26.5,9.5,0.8538461538461538,8.111538461538462,183.4
3,25,Male,98.8,1.86,189.0,135.0,69.0,0.78,Yoga,30.3,4.4,3,0,28.5,3.0,0.55,1.65,127.2
4,38,Male,95.5,1.71,176.0,138.0,66.0,0.55,Cardio,23.7,2.2,2,0,32.5,7.0,0.6545454545454545,4.581818181818182,240.7
5,56,Female,47.4,1.62,163.0,124.0,77.0,0.75,Yoga,28.7,3.7,5,1,18.1,3.0,0.5465116279069767,1.63953488372093,58.3
6,36,Female,71.1,1.62,183.0,136.0,78.0,0.41,Yoga,25.5,3.3,2,0,27.1,3.0,0.5523809523809524,1.6571428571428573,48.3
7,40,Female,72.5,1.63,176.0,137.0,63.0,0.52,Cardio,18.3,2.7,3,1,27.3,7.0,0.6548672566371682,4.5840707964601775,172.8
8,28,Male,71.6,1.82,191.0,164.0,83.0,0.78,Mixed,26.5,4.2,2,0,21.7,8.0,0.75,6.0,335.1
9,28,Female,49.0,1.55,199.0,166.0,66.0,0.67,Mixed,21.3,3.7,4,1,20.3,8.0,0.7518796992481203,6.015037593984962,197.5
10,41,Male,51.2,1.61,179.0,126.0,62.0,1.07,Yoga,14.5,3.8,7,3,19.7,3.0,0.5470085470085471,1.6410256410256412,89.9
11,53,Male,57.7,1.62,161.0,140.0,77.0,0.44,Mixed,28.7,3.5,3,0,21.9,8.0,0.75,6.0,152.3
12,57,Male,69.9,1.68,163.0,135.0,70.0,0.43,Strength,27.6,2.8,4,1,24.8,6.0,0.6989247311827957,4.193548387096774,126.0
13,41,Female,80.4,1.65,168.0,142.0,63.0,1.0,Mixed,20.9,4.6,6,2,29.4,8.0,0.7523809523809524,6.019047619047619,483.9
14,20,Female,66.6,1.53,205.0,186.0,75.0,0.65,HIIT,37.7,3.0,3,0,28.4,9.5,0.8538461538461538,8.111538461538462,351.1
15,39,Female,48.4,1.64,175.0,143.0,69.0,0.97,Strength,27.0,3.6,4,1,18.0,6.0,0.6981132075471698,4.188679245283018,196.7
16,19,Male,58.1,1.67,202.0,171.0,76.0,0.48,Mixed,25.5,4.4,2,0,20.8,8.0,0.753968253968254,6.031746031746032,168.2
17,41,Male,76.4,1.62,180.0,149.0,76.0,0.25,Strength,28.3,2.8,2,0,29.2,6.0,0.7019230769230769,4.211538461538462,80.4
18,47,Female,64.4,1.75,169.0,136.0,57.0,1.39,Strength,9.0,3.9,7,3,21.1,6.0,0.7053571428571429,4.232142857142858,378.8
19,55,Male,74.6,1.77,171.0,149.0,81.0,0.56,Mixed,24.7,4.3,3,0,23.8,8.0,0.7555555555555555,6.044444444444444,252.5
20,19,Male,50.3,1.67,205.0,184.0,66.0,0.44,HIIT,16.1,2.5,5,1,18.0,9.5,0.8489208633093526,8.06474820143885,178.5
21,38,Male,83.0,1.7,178.0,163.0,77.0,0.84,HIIT,29.1,3.8,3,0,28.6,9.5,0.8514851485148515,8.089108910891088,564.0
22,50,Female,38.6,1.46,174.0,143.0,73.0,0.25,Strength,29.8,2.5,3,0,18.0,6.0,0.693069306930693,4.158415841584159,40.1
23,29,Male,48.3,1.64,186.0,157.0,71.0,0.58,Mixed,21.2,3.9,3,0,18.0,8.0,0.7478260869565218,5.982608695652174,167.6
24,39,Male,89.4,1.78,188.0,171.0,74.0,0.27,HIIT,17.1,2.6,3,0,28.2,9.5,0.8508771929824561,8.083333333333334,195.1
25,42,Female,85.0,1.64,184.0,155.0,67.0,0.8,Mixed,25.8,3.9,5,1,31.7,8.0,0.7521367521367521,6.017094017094017,409.2
26,44,Female,58.9,1.61,181.0,153.0,68.0,0.87,Mixed,14.4,4.4,4,2,22.8,8.0,0.7522123893805309,6.017699115044247,308.4
27,59,Female,86.0,1.9,153.0,115.0,70.0,0.69,Yoga,24.2,4.0,5,1,23.8,3.0,0.5421686746987951,1.6265060240963851,96.5
28,45,Female,95.8,1.86,172.0,129.0,77.0,0.6,Yoga,31.4,3.5,5,1,27.6,3.0,0.5473684210526316,1.642105263157895,94.4
29,33,Female,75.0,1.73,184.0,129.0,60.0,1.0,Yoga,22.6,4.4,7,2,25.2,3.0,0.5564516129032258,1.6693548387096773,125.2
30,32,Female,72.4,1.79,185.0,153.0,55.0,1.69,Mixed,11.1,5.0,6,3,22.5,8.0,0.7538461538461538,6.030769230769231,737.9
31,20,Male,46.9,1.46,205.0,158.0,72.0,0.89,Cardio,20.6,3.5,3,1,22.1,7.0,0.6466165413533834,4.526315789473684,188.9
32,54,Male,46.2,1.6,157.0,135.0,69.0,1.25,Mixed,14.7,4.3,7,3,18.0,8.0,0.75,6.0,346.5
33,24,Male,66.5,1.63,198.0,179.0,72.0,0.87,HIIT,20.9,2.9,5,1,24.9,9.5,0.8492063492063492,8.067460317460318,466.7
34,38,Male,64.8,1.66,186.0,167.0,60.0,1.22,HIIT,18.7,3.8,6,2,23.6,9.5,0.8492063492063492,8.067460317460318,637.8
35,26,Female,59.2,1.63,190.0,172.0,65.0,0.91,HIIT,24.6,3.3,3,1,22.2,9.5,0.856,8.132,438.1
36,56,Male,42.0,1.45,167.0,133.0,70.0,1.29,Cardio,12.6,3.2,7,3,20.0,7.0,0.6494845360824743,4.546391752577319,246.3
37,35,Female,60.2,1.72,187.0,151.0,68.0,0.37,Strength,18.6,2.7,4,1,20.4,6.0,0.6974789915966386,4.184873949579831,93.2
38,21,Female,79.6,1.73,198.0,163.0,60.0,1.01,Mixed,19.7,4.2,5,2,26.5,8.0,0.7463768115942029,5.971014492753623,480.0
39,42,Male,93.2,1.84,183.0,135.0,76.0,0.63,Yoga,22.1,3.6,5,1,27.5,3.0,0.5514018691588785,1.6542056074766354,97.1
40,31,Male,58.2,1.6,186.0,167.0,59.0,1.35,HIIT,9.0,3.8,5,3,22.7,9.5,0.8503937007874016,8.078740157480315,634.7
41,26,Female,56.5,1.59,199.0,178.0,55.0,1.16,HIIT,18.3,3.7,7,3,22.3,9.5,0.8541666666666666,8.114583333333332,531.8
42,43,Female,43.3,1.45,178.0,150.0,85.0,0.81,Strength,26.3,3.3,3,0,20.6,6.0,0.6989247311827957,4.193548387096774,147.1
43,19,Female,75.6,1.65,199.0,161.0,73.0,0.57,Strength,26.6,3.4,5,1,27.7,6.0,0.6984126984126984,4.19047619047619,180.6
44,37,Female,75.6,1.77,182.0,148.0,67.0,0.83,Strength,28.7,3.7,3,0,24.1,6.0,0.7043478260869566,4.22608695652174,265.2
45,45,Male,66.8,1.62,168.0,147.0,82.0,0.8,Mixed,20.3,4.2,3,0,25.5,8.0,0.7558139534883721,6.046511627906977,323.1
46,24,Female,91.3,1.89,194.0,173.0,55.0,1.35,HIIT,19.2,3.6,7,3,25.4,9.5,0.8489208633093526,8.06474820143885,994.0
47,25,Male,62.3,1.65,189.0,146.0,64.0,0.87,Cardio,17.9,3.2,4,1,22.8,7.0,0.656,4.5920000000000005,248.9
48,52,Female,55.5,1.69,169.0,133.0,66.0,1.01,Cardio,24.3,3.1,3,1,19.3,7.0,0.6504854368932039,4.553398058252427,255.2
49,31,Female,47.7,1.54,194.0,158.0,75.0,1.06,Strength,25.0,3.8,7,2,20.0,6.0,0.6974789915966386,4.184873949579831,211.6
50,34,Female,83.2,1.71,188.0,150.0,80.0,0.95,Cardio,23.8,3.1,4,1,28.5,7.0,0.6481481481481481,4.537037037037037,358.6
51,53,Male,46.3,1.48,163.0,141.0,72.0,0.67,Mixed,24.0,4.5,2,0,21.1,8.0,0.7582417582417582,6.065934065934066,188.2
52,57,Female,68.4,1.75,162.0,134.0,84.0,0.54,Cardio,25.8,2.3,2,0,22.4,7.0,0.6410256410256411,4.487179487179487,165.7
53,21,Male,59.8,1.75,200.0,158.0,59.0,1.14,Strength,13.9,3.9,3,1,19.5,6.0,0.7021276595744681,4.212765957446809,287.2
54,19,Male,63.1,1.82,203.0,160.0,80.0,0.69,Cardio,20.7,2.8,2,0,19.1,7.0,0.6504065040650406,4.5528455284552845,198.2
55,23,Male,52.1,1.58,205.0,187.0,82.0,0.55,HIIT,25.0,3.1,2,0,20.9,9.5,0.8536585365853658,8.109756097560975,232.4
56,59,Female,88.5,1.7,164.0,144.0,83.0,0.83,Mixed,25.8,4.4,3,0,30.8,8.0,0.7530864197530864,6.024691358024692,442.5
57,21,Male,80.3,1.74,200.0,165.0,60.0,1.52,Mixed,16.3,4.0,7,3,26.6,8.0,0.75,6.0,732.3
